"Severity","Type","Rule","Message","File","Line","Status","Effort","CreatedDate","CleanCodeAttribute","Impact"
"MAJOR","CODE_SMELL","typescript:S4619","Use ""indexOf"" or ""includes"" (available from ES2016) instead.","apps/web/src/app/actions/dashboard-stats/activity-tracking.ts","129","OPEN","5min","2026-01-09T17:05:09+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6759","Mark the props of the component as read-only.","apps/web/src/app/app/admin/schools/page.tsx","263","OPEN","5min","2026-01-09T17:05:09+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/app/app/settings/page.tsx","60","OPEN","5min","2026-01-09T17:05:09+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/app/app/settings/page.tsx","62","OPEN","5min","2026-01-09T17:05:09+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7770","arrow function is equivalent to `Boolean`. Use `Boolean` directly.","apps/web/src/app/app/student/classes/page.tsx","82","OPEN","5min","2026-01-09T17:05:09+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S2301","Provide multiple methods instead of using ""isResetting"" to determine which action to take.","apps/web/src/components/admin/AdminListTable.tsx","42","OPEN","15min","2026-01-09T17:05:09+0530","FOCUSED","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/components/admin/pins/PINGenerator.tsx","80","OPEN","2min","2026-01-09T17:05:09+0530","CLEAR","MAINTAINABILITY"
"MAJOR","BUG","typescript:S6439","Convert the conditional to a boolean to avoid leaked value","apps/web/src/components/auth/TeacherStepComponents.tsx","525","OPEN","5min","2026-01-09T17:05:09+0530","LOGICAL","RELIABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/components/auth/student/JoinClassStep.tsx","79","OPEN","2min","2026-01-09T17:05:09+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/components/auth/student/JoinClassStep.tsx","84","OPEN","5min","2026-01-09T17:05:09+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6772","Ambiguous spacing before next element span","apps/web/src/components/auth/student/JoinClassStep.tsx","178","OPEN","5min","2026-01-09T17:05:09+0530","FORMATTED","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6772","Ambiguous spacing before next element span","apps/web/src/components/auth/student/ProfileStep.tsx","157","OPEN","5min","2026-01-09T17:05:09+0530","FORMATTED","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/components/auth/student/SignInStep.tsx","47","OPEN","2min","2026-01-09T17:05:09+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/components/auth/student/SignInStep.tsx","233","OPEN","2min","2026-01-09T17:05:09+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/components/auth/student/SignUpStep.tsx","69","OPEN","2min","2026-01-09T17:05:09+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/components/auth/student/SignUpStep.tsx","234","OPEN","2min","2026-01-09T17:05:09+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/components/auth/student/SignUpStep.tsx","358","OPEN","2min","2026-01-09T17:05:09+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S2301","Provide multiple methods instead of using ""isEarned"" to determine which action to take.","apps/web/src/components/gamification/BadgesDisplay.tsx","176","OPEN","15min","2026-01-09T17:05:09+0530","FOCUSED","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S4144","Update this function so that its implementation is not identical to the one on line 182.","apps/web/src/components/gamification/BadgesDisplay.tsx","191","OPEN","15min","2026-01-09T17:05:09+0530","DISTINCT","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/components/learn/ModuleCard.tsx","115","OPEN","5min","2026-01-09T17:05:09+0530","CLEAR","MAINTAINABILITY"
"MAJOR","BUG","typescript:S6439","Convert the conditional to a boolean to avoid leaked value","apps/web/src/components/settings/StudentProfileEditor.tsx","306","OPEN","5min","2026-01-09T17:05:09+0530","LOGICAL","RELIABILITY"
"MAJOR","BUG","typescript:S6439","Convert the conditional to a boolean to avoid leaked value","apps/web/src/components/settings/TeacherProfileEditor.tsx","280","OPEN","5min","2026-01-09T17:05:09+0530","LOGICAL","RELIABILITY"
"MAJOR","CODE_SMELL","typescript:S2301","Provide multiple methods instead of using ""isResending"" to determine which action to take.","apps/web/src/components/student/SignUpEmailFlow.tsx","68","OPEN","15min","2026-01-09T17:05:09+0530","FOCUSED","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S4323","Replace this union type with a type alias.","apps/web/src/components/teacher/AIInteractionsLog.tsx","26","OPEN","5min","2026-01-09T17:05:09+0530","DISTINCT","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/components/teacher/ClassAssessmentCard.tsx","67","OPEN","2min","2026-01-09T17:05:09+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S2301","Provide multiple methods instead of using ""isRemoving"" to determine which action to take.","apps/web/src/components/teacher/RosterTable.tsx","55","OPEN","15min","2026-01-09T17:05:09+0530","FOCUSED","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6819","Use <select size=...>, <select multiple=...>, or <datalist> instead of the ""listbox"" role to ensure accessibility across all devices.","apps/web/src/components/teacher/StudentSearchResults.tsx","32","OPEN","5min","2026-01-09T17:05:09+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6842","Non-interactive elements should not be assigned interactive roles.","apps/web/src/components/teacher/StudentSearchResults.tsx","35","OPEN","5min","2026-01-09T17:05:09+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6819","Use <option> instead of the ""option"" role to ensure accessibility across all devices.","apps/web/src/components/teacher/StudentSearchResults.tsx","39","OPEN","5min","2026-01-09T17:05:09+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6842","Non-interactive elements should not be assigned interactive roles.","apps/web/src/components/teacher/StudentSearchResults.tsx","41","OPEN","5min","2026-01-09T17:05:09+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S2301","Provide multiple methods instead of using ""isResending"" to determine which action to take.","apps/web/src/components/teacher/onboarding/TeacherSignupEmailFlow.tsx","17","OPEN","15min","2026-01-09T17:05:09+0530","FOCUSED","MAINTAINABILITY"
"CRITICAL","CODE_SMELL","typescript:S3776","Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.","apps/web/src/hooks/usePINManagement.ts","223","OPEN","6min","2026-01-09T17:05:09+0530","FOCUSED","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/hooks/useStudentAuth.ts","36","OPEN","2min","2026-01-09T17:05:09+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7735","Unexpected negated condition.","apps/web/src/hooks/useStudentAuth.ts","229","OPEN","2min","2026-01-09T17:05:09+0530","CLEAR","MAINTAINABILITY"
"CRITICAL","CODE_SMELL","typescript:S3776","Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.","apps/web/src/lib/rate-limiter-distributed.ts","291","OPEN","10min","2026-01-09T17:05:09+0530","FOCUSED","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S4325","This assertion is unnecessary since it does not change the type of the expression.","apps/web/src/app/actions/admin-management.ts",,"CLOSED","1min","2026-01-08T09:55:49+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S4619","Use ""indexOf"" or ""includes"" (available from ES2016) instead.","apps/web/src/app/actions/dashboard-stats/activity-tracking.ts",,"CLOSED","5min","2026-01-08T09:55:49+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S2486","Handle this exception or don't catch it at all.","apps/web/src/app/actions/dashboard-stats/progress-analytics.ts","178","OPEN","1h","2026-01-08T09:55:49+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S101","Rename interface ""_AuthUser"" to match the regular expression ^[A-Z][a-zA-Z0-9]*$.","apps/web/src/app/actions/teacher/teacher-assessment.ts","33","OPEN","5min","2026-01-08T09:55:49+0530","IDENTIFIABLE","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6754","useState call is not destructured into value + setter pair","apps/web/src/components/assessment/AssessmentRunner.tsx","158","OPEN","5min","2026-01-08T09:55:49+0530","IDENTIFIABLE","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6759","Mark the props of the component as read-only.","apps/web/src/components/auth/StudentStepComponents.tsx",,"CLOSED","5min","2026-01-08T09:55:49+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6759","Mark the props of the component as read-only.","apps/web/src/components/auth/TeacherStepComponents.tsx",,"CLOSED","5min","2026-01-08T09:55:49+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","BUG","typescript:S3799","Unexpected empty object pattern.","apps/web/src/components/auth/TeacherStepComponents.tsx",,"CLOSED","5min","2026-01-08T09:55:49+0530","COMPLETE","RELIABILITY"
"MINOR","CODE_SMELL","typescript:S6759","Mark the props of the component as read-only.","apps/web/src/components/auth/TeacherStepComponents.tsx",,"CLOSED","5min","2026-01-08T09:55:49+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6767","'router' PropType is defined but prop is never used","apps/web/src/components/auth/TeacherStepComponents.tsx","19","OPEN","5min","2026-01-08T09:55:49+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S2486","Handle this exception or don't catch it at all.","apps/web/src/components/student/SignUpEmailFlow.tsx","121","OPEN","1h","2026-01-08T09:55:49+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6606","Prefer using nullish coalescing operator (`??=`) instead of an assignment expression, as it is simpler to read.","apps/web/src/lib/monitoring/connection-pool-monitor.ts",,"CLOSED","5min","2026-01-08T09:55:49+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6647","Useless constructor.","apps/web/src/lib/monitoring/connection-pool-monitor.ts","39","OPEN","5min","2026-01-08T09:55:49+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S7721","Move function 'confirmDeletion' to the outer scope.","apps/web/src/app/(public)/admin/manage/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","EFFICIENT","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S7721","Move function 'validateAdminForm' to the outer scope.","apps/web/src/app/(public)/admin/manage/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","EFFICIENT","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S7721","Move function 'validateEmailForDeletion' to the outer scope.","apps/web/src/app/(public)/admin/manage/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","EFFICIENT","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6853","A form label must be associated with a control.","apps/web/src/app/(public)/admin/pins/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","LOGICAL","RELIABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/app/(public)/join/page.tsx","484","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6582","Prefer using an optional chain expression instead, as it's more concise and easier to read.","apps/web/src/app/(public)/join/page.tsx","519","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S1854","Remove this useless assignment to variable ""otpInput"".","apps/web/src/app/(public)/reset-password/page.tsx",,"CLOSED","1min","2026-01-07T10:45:06+0530","LOGICAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/app/(public)/reset-password/page.tsx","45","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S4325","This assertion is unnecessary since it does not change the type of the expression.","apps/web/src/app/(public)/student/start/page.tsx",,"CLOSED","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/app/(public)/student/start/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/app/(public)/student/start/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S4325","This assertion is unnecessary since it does not change the type of the expression.","apps/web/src/app/actions/admin-metrics.ts",,"CLOSED","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S4323","Replace this union type with a type alias.","apps/web/src/app/actions/ai.ts","121","OPEN","5min","2026-01-07T10:45:06+0530","DISTINCT","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7748","Don't use a zero fraction in the number.","apps/web/src/app/actions/assessment/adaptive-selection.ts",,"CLOSED","1min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6582","Prefer using an optional chain expression instead, as it's more concise and easier to read.","apps/web/src/app/actions/assessment/adaptive-selection.ts",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7748","Don't use a zero fraction in the number.","apps/web/src/app/actions/assessment/irt-models.ts",,"CLOSED","1min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7748","Don't use a zero fraction in the number.","apps/web/src/app/actions/assessment/irt-models.ts",,"CLOSED","1min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7718","The catch parameter `signOutErr` should be named `error_`.","apps/web/src/app/actions/auth/auth-otp.ts","443","OPEN","5min","2026-01-07T10:45:06+0530","CONVENTIONAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S2486","Handle this exception or don't catch it at all.","apps/web/src/app/actions/dashboard-stats/progress-analytics.ts",,"CLOSED","1h","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6582","Prefer using an optional chain expression instead, as it's more concise and easier to read.","apps/web/src/app/actions/school/teacher-verification.ts","331","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7781","Prefer `String#replaceAll()` over `String#replace()`.","apps/web/src/app/actions/student.ts","234","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7744","The empty object is useless.","apps/web/src/app/actions/student.ts","430","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/app/actions/teacher/teacher-analytics-export.ts",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S6582","Prefer using an optional chain expression instead, as it's more concise and easier to read.","apps/web/src/app/actions/teacher/teacher-analytics-export.ts","86","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S6551","'name || ""Unknown""' will use Object's default stringification format ('[object Object]') when stringified.","apps/web/src/app/actions/teacher/teacher-analytics-export.ts","434","OPEN","5min","2026-01-07T10:45:06+0530","LOGICAL","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S7776","`dangerousChars` should be a `Set`, and use `dangerousChars.has()` to check existence or non-existence.","apps/web/src/app/actions/teacher/teacher-analytics-export.ts","437","OPEN","5min","2026-01-07T10:45:06+0530","EFFICIENT","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S4325","This assertion is unnecessary since it does not change the type of the expression.","apps/web/src/app/actions/teacher/teacher-analytics-export.ts","547","OPEN","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S4043","Move this array ""sort"" operation to a separate statement or replace it with ""toSorted"".","apps/web/src/app/actions/teacher/teacher-assessment.ts","360","OPEN","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MINOR","CODE_SMELL","typescript:S1128","Remove this unused import of 'ClassIdSchema'.","apps/web/src/app/actions/teacher/teacher-enrollment.ts",,"CLOSED","1min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
"MAJOR","CODE_SMELL","typescript:S3358","Extract this nested ternary operation into an independent statement.","apps/web/src/app/app/admin/performance/page.tsx",,"CLOSED","5min","2026-01-07T10:45:06+0530","CLEAR","MAINTAINABILITY"
