Issue ID,Rule,Severity,Type,File,Line,Message,Status,Effort,Quality Impact,Quick Fix Available
c8f5bfb6-66c6-4428-8255-c71111873740,typescript:S4325,MINOR,CODE_SMELL,apps/web/src/app/actions/admin-management.ts,38,"This assertion is unnecessary since it does not change the type of the expression.",OPEN,1min,MAINTAINABILITY,Yes
94f9c8d4-b30a-4dcd-a672-001742310edc,typescript:S4619,MAJOR,CODE_SMELL,apps/web/src/app/actions/dashboard-stats/activity-tracking.ts,131,"Use ""indexOf"" or ""includes"" (available from ES2016) instead.",OPEN,5min,MAINTAINABILITY,Yes
708b5245-2d9c-431f-b2bd-465720c3730c,typescript:S2486,MINOR,CODE_SMELL,apps/web/src/app/actions/dashboard-stats/progress-analytics.ts,178,"Handle this exception or don't catch it at all.",OPEN,1h,MAINTAINABILITY,No
f139a72d-cc3a-433e-a6e9-3a80e5989801,typescript:S101,MINOR,CODE_SMELL,apps/web/src/app/actions/teacher/teacher-assessment.ts,33,"Rename interface ""_AuthUser"" to match the regular expression ^[A-Z][a-zA-Z0-9]*$.",OPEN,5min,MAINTAINABILITY,No
a83d3228-d166-4029-b751-edd964ff5786,typescript:S6754,MINOR,CODE_SMELL,apps/web/src/components/assessment/AssessmentRunner.tsx,124,"useState call is not destructured into value + setter pair",OPEN,5min,MAINTAINABILITY,No
b3aefb4c-2738-456e-a953-a680b3695961,typescript:S6759,MINOR,CODE_SMELL,apps/web/src/components/auth/StudentStepComponents.tsx,18,"Mark the props of the component as read-only.",OPEN,5min,MAINTAINABILITY,Yes
611271fb-434c-4355-8472-50d71e7c2e1b,typescript:S6767,MINOR,CODE_SMELL,apps/web/src/components/auth/TeacherStepComponents.tsx,19,"'router' PropType is defined but prop is never used",OPEN,5min,MAINTAINABILITY,No
3b1e6eb5-f60e-40e1-8368-2f000ae6a2bf,typescript:S6759,MINOR,CODE_SMELL,apps/web/src/components/auth/TeacherStepComponents.tsx,22,"Mark the props of the component as read-only.",OPEN,5min,MAINTAINABILITY,Yes
1af33fa5-b9dc-4287-ad13-fc368e2160d1,typescript:S6759,MINOR,CODE_SMELL,apps/web/src/components/auth/TeacherStepComponents.tsx,186,"Mark the props of the component as read-only.",OPEN,5min,MAINTAINABILITY,Yes
1f966327-c836-41ac-bcd9-8561f75c7452,typescript:S3799,MAJOR,BUG,apps/web/src/components/auth/TeacherStepComponents.tsx,186,"Unexpected empty object pattern.",OPEN,5min,RELIABILITY,No
