Key,Severity,Type,Status,Component,Line,Message,Rule,Effort,Author,Creation Date
9a502936-f9b4-4cd4-8a9e-bc3febec4205,MINOR,CODE_SMELL,OPEN,Atal-AI:apps/web/src/app/(public)/teacher/start/page.tsx,209,"Unexpected negated condition.",typescript:S7735,2min,,2026-01-05T14:16:30+0530
7a7d12d9-ed8a-4925-94af-905a363aaa77,MINOR,CODE_SMELL,OPEN,Atal-AI:apps/web/src/app/(public)/teacher/start/page.tsx,351,"Unexpected negated condition.",typescript:S7735,2min,,2026-01-05T14:16:30+0530
df64798e-10e8-4c90-b77f-c79d130438e9,MINOR,CODE_SMELL,OPEN,Atal-AI:apps/web/src/app/(public)/teacher/start/page.tsx,391,"Unexpected negated condition.",typescript:S7735,2min,,2026-01-05T14:16:30+0530
682f9948-b3a8-493a-8bd9-74e6dc739ac2,MINOR,CODE_SMELL,OPEN,Atal-AI:apps/web/src/components/auth/StudentStepComponents.tsx,9,"Remove this unused import of 'Input'.",typescript:S1128,1min,,2026-01-05T14:16:30+0530
7d028bc5-bc9c-482a-9e41-8931c1aae523,MINOR,CODE_SMELL,OPEN,Atal-AI:apps/web/src/components/auth/StudentStepComponents.tsx,10,"Remove this unused import of 'Label'.",typescript:S1128,1min,,2026-01-05T14:16:30+0530
0680be4a-ce5e-4df2-8340-c8761ba19c4b,MINOR,CODE_SMELL,OPEN,Atal-AI:apps/web/src/components/auth/StudentStepComponents.tsx,12,"'@/lib/validation-utils' imported multiple times.",typescript:S3863,1min,,2026-01-05T14:16:30+0530
54eac763-6939-4b7a-a169-f130a7a06886,MINOR,CODE_SMELL,OPEN,Atal-AI:apps/web/src/components/auth/StudentStepComponents.tsx,12,"Remove this unused import of 'validatePassword'.",typescript:S1128,1min,,2026-01-05T14:16:30+0530
8c20683c-0b76-4552-82b2-819baf9c93a3,MINOR,CODE_SMELL,OPEN,Atal-AI:apps/web/src/components/auth/StudentStepComponents.tsx,14,"Remove this unused import of 'UseOTPInputReturn'.",typescript:S1128,1min,,2026-01-05T14:16:30+0530
71b18879-5ee1-470e-9eac-38dec73e90e5,MINOR,CODE_SMELL,OPEN,Atal-AI:apps/web/src/components/auth/StudentStepComponents.tsx,15,"Remove this unused import of 'UsePhoneInputReturn'.",typescript:S1128,1min,,2026-01-05T14:16:30+0530
47a82b02-be9b-4390-b3de-b76abce98446,MINOR,CODE_SMELL,OPEN,Atal-AI:apps/web/src/components/auth/StudentStepComponents.tsx,16,"Remove this unused import of 'CLASS_CODE_LENGTH'.",typescript:S1128,1min,,2026-01-05T14:16:30+0530
588ce23c-1c0f-4c71-9060-4572c04036fb,MINOR,CODE_SMELL,OPEN,Atal-AI:apps/web/src/components/auth/StudentStepComponents.tsx,16,"Remove this unused import of 'PIN_LENGTH'.",typescript:S1128,1min,,2026-01-05T14:16:30+0530
7005f7c4-3349-4909-bc99-b97f31b6f257,MINOR,CODE_SMELL,OPEN,Atal-AI:apps/web/src/components/auth/StudentStepComponents.tsx,16,"Remove this unused import of 'OTP_LENGTH'.",typescript:S1128,1min,,2026-01-05T14:16:30+0530
8c1165c2-7332-417d-9513-e2448ddecebf,MINOR,CODE_SMELL,OPEN,Atal-AI:apps/web/src/components/auth/StudentStepComponents.tsx,16,"Remove this unused import of 'PHONE_DIGIT_LENGTH'.",typescript:S1128,1min,,2026-01-05T14:16:30+0530
079120d0-d497-4431-8252-af9d5fafe393,MINOR,CODE_SMELL,OPEN,Atal-AI:apps/web/src/components/auth/StudentStepComponents.tsx,17,"Remove this unused import of 'sanitizeProfilePhone'.",typescript:S1128,1min,,2026-01-05T14:16:30+0530
0cc666f2-59eb-4181-a111-15053a9d0ddd,MINOR,CODE_SMELL,OPEN,Atal-AI:apps/web/src/components/auth/StudentStepComponents.tsx,17,"'@/lib/validation-utils' imported multiple times.",typescript:S3863,1min,,2026-01-05T14:16:30+0530
